1	0										
2	0										
3	0										
4	1										
1	1										
2	1										
3	1										
4	0										
5	0										
6	153										
5	153										
5	107										
5	89										
5	97										
5	75										
5	100										
5	271										
5	159										
5	28										
5	61										
5	228										
5	174										
5	215										
5	8										
5	294										
5	285										
5	149										
5	36										
5	286										
4	1										
4	0										
5	296										
5	142										
5	21										
5	274										
5	271										
5	100										
5	110										
5	185										
5	284										
5	141										
5	259										
5	251										
5	157										
5	48										
5	282										
5	21										
5	209										
5	55										
5	177										
5	131										
5	163										
5	231										
5	137										
5	59										
5	46										
5	101										
5	48										
5	141										
5	269										
5	148										
5	137										
5	246										
5	213										
5	8										
5	209										
5	284										
5	279										
5	97										
5	280										
5	30										
5	22										
5	35										
5	123										
5	205										
5	32										
5	149										
5	196										
5	8										
5	137										
5	126										
5	10										
5	137										
5	149										
5	53										
5	300										
5	4										
5	31										
5	264										
5	45										
5	122										
5	108										
5	212										
5	80										
5	239										
5	193										
5	62										
5	163										
4	1										
4	0										
5	221										
5	276										
5	95										
5	101										
5	284										
5	69										
5	189										
5	224										
5	237										
5	292										
1	0										
1	1										
5	165										
5	208										
5	216										
5	180										
5	272										
5	27										
5	104										
5	282										
5	7										
5	247										
5	68										
5	189										
5	211										
5	40										
5	253										
5	51										
5	209										
5	20										
5	188										
5	260										
5	92										
5	196										
5	218										
5	264										
5	86										
5	102										
5	102										
5	131										
5	89										
5	28										
5	185										
5	284										
5	289										
5	149										
5	286										
5	121										
5	145										
5	207										
5	187										
5	171										
5	225										
5	118										
5	257										
5	60										
5	25										
5	21										
5	253										
5	30										
5	77										
5	108										
5	91										
5	289										
5	242										
5	266										
5	207										
5	285										
5	75										
5	49										
5	278										
5	164										
5	95										
5	46										
5	26										
5	294										
5	50										
5	288										
5	138										
5	151										
5	17										
5	77										
5	87										
5	107										
5	205										
5	91										
5	55										
5	231										
5	37										
5	41										
5	193										
5	9										
5	253										
5	59										
5	29										
5	61										
5	110										
5	22										
5	285										
5	57										
5	72										
5	38										
5	58										
5	227										
5	231										
5	6										
5	4										
5	130										
5	122										
5	191										
1	0										
1	1										
5	186										
5	127										
5	79										
5	192										
5	20										
5	232										
5	205										
5	264										
5	168										
5	140										
5	210										
5	92										
5	53										
